Distribución porcentual de los nacimientos por local de ocurrencia y tipo de establecimiento. Ciudad de Buenos Aires. Años 2001/2020;;;;;;;
Año;Total nacidos vivos (100 %);Establecimiento asistencial;;Vivienda;Otro lugar;;
;;Público;Privado;;;;
2001;42.171;37,8;60,7;0,8;0,8;;
2002;40.825;37,7;61,7;0,4;0,2;;
2003;42.136;37,0;62,6;0,4;0,1;;
2004;44.019;36,0;63,7;0,3;0,0;;
2005;43.064;35,6;64,2;0,2;0,0;;
2006;43.582;35,5;64,1;0,3;0,0;;
2007;42.183;35,1;64,5;0,4;0,0;;
2008;45.122;33,5;66,0;0,5;0,0;;
2009;43.584;34,7;64,9;0,4;0,0;;
2010;44.347;34,1;65,4;0,4;0,0;;
2011;44.257;34,5;65,1;0,5;0,0;;
2012;42.706;35,2;64,4;0,4;0,0;;
2013;42.638;34,6;64,9;0,4;0,0;;
2014;42.709;33,3;66,2;0,4;0,0;;
2015;40.913;33,2;66,3;0,4;0,0;;
2016;38.954;31,8;67,8;0,4;0,0;;
2017;35.021;32,9;66,9;0,2;0,0;;
2018;34.640;33,2;66,3;0,4;0,0;;
2019;33.397;33,3;66,3;0,4;0,0;;
2020;27.529;32,0;67,5;0,5;-;;
2021;25.560;31,6;67,9;0,6;-;;
2022;24.085;31,7;67,7;0,5;-;;
Nota: En el contexto de pandemia por Covid-19,los procesos habituales de la DGRC (Dirección General de Registro Civil) de CABA se vieron afectados en su funcionamiento. Durante el Aislamiento Social Preventivo y Obligatorio la Sede Central tuvo un funcionamiento limitado y las sedes comunales estuvieron cerradas, afectando la registración y la carga al sistema de los hechos vitales. La Disposición N° 106/DGRC/20 reguló las actividades durante la Pandemia. La DI-106-GCABA-DGRC suspende excepcionalmente el plazo de 40 días para la inscripción de los nacimientos ocurridos a partir del 9 de febrero del 2020 hasta tanto persista la emergencia sanitaria en la CABA. Algunas inscripciones que requieren la asistencia presencial de los padres del nacido vivo en la sede central o en las sedes comunales se vieron interrumpidas temporalmente, generando un stock de trámites pendientes cuya inscripción, hacia fin del año 2020 se estaba empezando a regularizar.;;;;;;;
Fuente: Dirección General de Estadística y Censos (Ministerio de Hacienda y Finanzas GCBA). Estadísticas vitales;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
